Date, Open, High, Low, Close
2021-08-03,3149.25,3154.21,3126.18,3149.25
2021-08-02,3176.42,3161.22,3161.22,3161.22
2021-07-30,3169.75,3166.94,3166.94,3166.94
2021-07-29,3166.52,3180.61,3180.61,3180.61
2021-07-28,3150.87,3141.75,3141.75,3141.75
2021-07-27,3149.7,3138.81,3138.81,3138.81
2021-07-26,3138.97,3160.44,3127.78,3138.97
2021-07-23,3161.22,3157.05,3157.05,3157.05
2021-07-22,3133.05,3159.26,3159.26,3159.26
2021-07-21,3124.99,3119.0,3119.0,3119.0
2021-07-19,3114.76,3128.08,3109.28,3111.2
2021-07-16,3138.25,3152.3,3152.3,3152.3
2021-07-15,3152.13,3139.98,3139.98,3139.98
2021-07-14,3165.58,3153.15,3153.15,3153.15
2021-07-13,3170.39,3166.81,3166.81,3166.81
2021-07-12,3147.14,3161.21,3135.19,3147.14
2021-07-09,3097.56,3131.4,3131.4,3131.4
2021-07-08,3140.07,3107.59,3107.59,3107.59
2021-07-07,3174.89,3141.6,3141.6,3141.6
2021-07-06,3147.82,3195.25,3147.77,3190.59
2021-07-05,3126.62,3141.02,3141.02,3141.02
2021-07-02,3139.55,3128.95,3128.95,3128.95
2021-07-01,3124.19,3147.88,3123.48,3124.19
2021-06-30,3101.5,3130.46,3130.46,3130.46
2021-06-29,3120.44,3089.49,3089.49,3089.49
2021-06-28,3133.87,3126.88,3126.88,3126.88
2021-06-25,3128.8,3121.6,3121.6,3121.6
2021-06-24,3119.91,3119.62,3119.62,3119.62
2021-06-23,3116.71,3118.62,3118.62,3118.62
2021-06-22,3125.71,3109.2,3109.2,3109.2
2021-06-21,3113.45,3117.87,3117.87,3117.87
2021-06-18,3129.34,3144.16,3125.67,3144.16
2021-06-17,3128.61,3138.31,3138.31,3138.31
2021-06-16,3173.72,3174.79,3139.57,3139.57
2021-06-15,3174.87,3182.75,3159.2,3174.87
2021-06-14,3153.14,3160.35,3149.94,3153.14
2021-06-11,3157.97,3172.57,3155.16,3157.97
2021-06-10,3157.42,3162.5,3162.5,3162.5
2021-06-09,3167.01,3169.08,3153.47,3153.47
2021-06-08,3177.32,3181.36,3157.32,3167.14
2021-06-07,3169.69,3179.78,3165.76,3175.81
2021-06-04,3151.04,3171.45,3145.79,3151.04
2021-06-03,3168.8,3177.1,3159.6,3165.0
2021-06-02,3183.34,3186.98,3153.83,3161.04
2021-06-01,3176.71,3188.0,3162.65,3187.23
2021-05-31,3184.53,3193.61,3157.4,3164.28
2021-05-28,3183.57,3178.55,3178.55,3178.55
2021-05-27,3139.93,3171.72,3135.37,3164.82
2021-05-25,3132.27,3149.39,3132.22,3146.09
2021-05-24,3132.21,3123.61,3123.61,3123.61
2021-05-21,3126.75,3117.89,3117.89,3117.89
2021-05-20,3114.42,3109.81,3109.81,3109.81
2021-05-19,3124.95,3133.12,3100.95,3104.21
2021-05-18,3100.9,3142.63,3142.63,3142.63
2021-05-17,3079.69,3087.2,3027.38,3079.69
2021-05-14,3105.74,3121.26,3023.95,3055.02
2021-05-12,3126.5,3142.6,3115.75,3123.26
2021-05-11,3144.27,3166.59,3137.46,3144.27
2021-05-10,3203.85,3206.24,3177.6,3182.41
2021-05-07,3177.99,3204.4,3173.21,3200.26
2021-05-06,3173.0,3178.24,3157.88,3173.0
2021-05-05,3157.2,3153.59,3153.59,3153.59
2021-05-04,3183.08,3186.0,3168.56,3179.13
2021-05-03,3221.79,3221.94,3165.77,3184.76
2021-04-30,3218.9,3218.27,3218.27,3218.27
2021-04-29,3221.58,3235.72,3218.07,3221.58
2021-04-28,3219.56,3220.27,3205.5,3219.56
2021-04-27,3203.66,3219.98,3200.62,3214.43
2021-04-26,3187.72,3211.54,3183.37,3204.9
2021-04-23,3172.68,3194.04,3194.04,3194.04
2021-04-22,3171.78,3187.78,3187.78,3187.78
2021-04-21,3163.48,3172.87,3145.28,3155.06
2021-04-20,3207.99,3211.0,3187.4,3192.17
2021-04-19,3209.72,3214.93,3200.72,3209.72
2021-04-16,3184.65,3203.56,3184.31,3201.76
2021-04-15,3189.16,3189.71,3176.08,3184.77
2021-04-14,3188.41,3179.39,3179.39,3179.39
2021-04-13,3187.9,3192.61,3174.31,3187.9
2021-04-12,3175.73,3182.3,3160.76,3173.93
2021-04-09,3189.8,3184.54,3184.54,3184.54
2021-04-08,3186.4,3201.83,3184.54,3186.4
2021-04-07,3215.22,3195.76,3195.76,3195.76
2021-04-06,3219.68,3207.63,3207.63,3207.63
2021-04-05,3205.91,3212.49,3203.65,3209.74
2021-04-01,3187.17,3188.45,3170.22,3181.68
2021-03-31,3200.35,3200.49,3165.34,3165.34
2021-03-30,3201.63,3204.24,3187.92,3190.89
2021-03-29,3165.98,3183.93,3160.88,3175.57
2021-03-26,3152.29,3157.95,3157.95,3157.95
2021-03-25,3120.58,3141.71,3141.71,3141.71
2021-03-24,3127.12,3136.92,3121.6,3133.31
2021-03-23,3124.41,3148.49,3120.92,3131.74
2021-03-22,3130.69,3149.01,3123.96,3128.08
2021-03-19,3131.74,3148.98,3127.84,3134.54
2021-03-18,3132.1,3147.67,3130.65,3137.66
2021-03-17,3102.78,3109.65,3109.65,3109.65
2021-03-16,3111.81,3105.51,3105.51,3105.51
2021-03-15,3109.32,3118.91,3097.01,3106.0
2021-03-12,3112.57,3115.25,3089.44,3095.22
2021-03-11,3086.74,3113.93,3082.16,3106.01
2021-03-10,3106.94,3108.29,3072.53,3079.72
2021-03-09,3091.79,3116.31,3091.79,3108.53
2021-03-08,3075.16,3079.98,3060.58,3071.16
2021-03-05,3005.9,3028.44,2992.23,3013.85
2021-03-04,2987.66,3015.87,2981.34,3014.78
2021-03-03,2991.12,3000.44,2980.68,3000.37
2021-03-02,2989.8,3000.06,2970.92,2973.87
2021-03-01,2948.69,2981.5,2948.64,2973.0
2021-02-26,2923.23,2951.29,2921.1,2949.04
2021-02-25,2951.03,2976.36,2949.62,2973.54
2021-02-24,2897.72,2935.76,2896.57,2924.58
2021-02-23,2879.64,2905.22,2875.9,2890.7
2021-02-22,2888.29,2897.53,2876.89,2881.21
2021-02-19,2896.91,2880.64,2880.64,2880.64
2021-02-18,2917.93,2921.71,2901.09,2908.85
2021-02-17,2913.81,2928.25,2909.54,2920.43
2021-02-16,2935.58,2945.29,2932.2,2935.34
